التقرير,سجل التسليمات
تاريخ الإصدار,2026-09-08T21:20:00.404Z
عوامل التصفية,"from=2026-06-10, to=2026-09-08"

رقم الإذن,التاريخ,النوع,الاتجاه,الحالة,الفرع,من,إلى,عدد الماكينات,أنشأه,تاريخ التأكيد
TRF-2026-000125,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000124,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000123,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000122,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000121,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000120,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000119,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000118,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000075,2026-09-08,REPRESENTATIVE_TO_MERCHANT,OUT,CONFIRMED,فرع الإحلال,مندوب الإحلال (REPRESENTATIVE),محل تاجر T_963446_0463 (MERCHANT),1,مندوب الإحلال,2026-09-08
TRF-2026-000074,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع الإحلال,مشرف الإحلال (SUPERVISOR),مندوب الإحلال (REPRESENTATIVE),1,مشرف الإحلال,2026-09-08
TRF-2026-000073,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع الإحلال,— (WAREHOUSE),مشرف الإحلال (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000065,2026-09-08,BRANCH_TO_COMPANY,RETURN,CONFIRMED,فرع الصيانة,مشرف الصيانة (SUPERVISOR),مخزن الشركة الرئيسي (WAREHOUSE),1,مشرف الصيانة,2026-09-08
TRF-2026-000064,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع الصيانة,— (WAREHOUSE),مشرف الصيانة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000012,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الصيانة,— (WAREHOUSE),مشرف الصيانة (SUPERVISOR),1,مدير النظام,
TRF-2026-000002,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع الحمل,مستخدم اختبار (SUPERVISOR),مستخدم اختبار (REPRESENTATIVE),1,مستخدم اختبار,2026-09-08
TRF-2026-000001,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع الحمل,— (WAREHOUSE),مستخدم اختبار (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000090,2026-09-05,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000070,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000071,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000072,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000076,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000077,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000080,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000081,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000082,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000085,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000086,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000087,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000113,2026-09-01,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
